id;DESCRIPTION;price;link;image_link;availability;brand;delivery_time;gtin_ean;product_type;sale_price;size;stock;title
BN44-00871A REV 1.4;Fuente Alimentacion SAMSUNG BN44-00871A REV 1.4;25;https://www.sspelectronic.com/producto/34-;https://www.sspelectronic.com/images/productos/img/34-1-original.jpg;S;SAMSUNG;2;1300000000031;Fuentes de Alimentación;30.25;0.5 x 0.5 x 0.5;0;Fuente Alimentacion SAMSUNG BN44-00871A REV 1.4
BN44-00852A REV 1.1;Fuente Alimentacion SAMSUNG UE40J5200AW BN44-00852A REV. 1.1;25;https://www.sspelectronic.com/producto/35-;https://www.sspelectronic.com/images/productos/img/35-1-original.jpg;S;SAMSUNG;2;1300000000032;Fuentes de Alimentación;30.25;0.5 x 0.5 x 0.5;0;Fuente Alimentacion SAMSUNG UE40J5200AW BN44-00852A REV. 1.1
BN41-02499A REV1.3;Fuente Alimentacion BN41-02499A REV1.3 BN94-10711A;25;https://www.sspelectronic.com/producto/36-;https://www.sspelectronic.com/images/productos/img/36-1-original.jpg;S;;2;1300000000033;Fuentes de Alimentación;30.25;0.5 x 0.5 x 0.5;1;Fuente Alimentacion BN41-02499A REV1.3 BN94-10711A
BN44-00872;Fuente Alimentacion Samsung L55E1_KSM BN44-00872 UE49K5570SU;25;https://www.sspelectronic.com/producto/37-;https://www.sspelectronic.com/images/productos/img/37-1-original.jpg;S;;2;1300000000034;Fuentes de Alimentación;30.25;0.5 x 0.5 x 0.5;0;Fuente Alimentacion Samsung L55E1_KSM BN44-00872 UE49K5570SU
BN44-00806A REV 1.2;Fuente Alimentacion BN44-00806A REV 1.2 SAMSUNG UE40KU6100W;25;https://www.sspelectronic.com/producto/38-;https://www.sspelectronic.com/images/productos/img/38-1-original.jpg;S;;2;1300000000035;Fuentes de Alimentación;30.25;0.5 x 0.5 x 0.5;7;Fuente Alimentacion BN44-00806A REV 1.2 SAMSUNG UE40KU6100W
BN44-00698 L42/48SF_ESM REV1.7;Fuente Alimentacion SAMSUNG UE40J5100AW BN44-00698 L42/48SF_ESM REV1.7;25;https://www.sspelectronic.com/producto/39-;https://www.sspelectronic.com/images/productos/img/39-1-original.jpg;S;;2;1300000000036;Fuentes de Alimentación;30.25;0.5 x 0.5 x 0.5;1;Fuente Alimentacion SAMSUNG UE40J5100AW BN44-00698 L42/48SF_ESM REV1.7
BN44-00806A L40S6_FDY REV 1.1;Fuente Alimentacion BN44-00806A L40S6_FDY REV 1.1, Samsung UE40JU6400K;25;https://www.sspelectronic.com/producto/40-;https://www.sspelectronic.com/images/productos/img/40-1-original.jpg;S;SAMSUNG;2;1300000000037;Fuentes de Alimentación;30.25;0.5 x 0.5 x 0.5;0;Fuente Alimentacion BN44-00806A L40S6_FDY REV 1.1, Samsung UE40JU6400K
BN44-00746;Fuente Alimentacion Samsung BN44-00746 UE24H4003AW;15;https://www.sspelectronic.com/producto/41-;https://www.sspelectronic.com/images/productos/img/41-1-original.jpg;S;SAMSUNG;2;1300000000038;Fuentes de Alimentación;18.15;0.5 x 0.5 x 0.5;0;Fuente Alimentacion Samsung BN44-00746 UE24H4003AW
BN44-00755A;Fuente Alimentacion Samsung BN44-00755A PSLF281W07A  L55N4_ESM 2014.08.25 Rev 1.3;57.85;https://www.sspelectronic.com/producto/43-;https://www.sspelectronic.com/images/productos/img/43-1-original.jpg;S;SAMSUNG;2;1300000000039;Fuentes de Alimentación;70;0.5 x 0.5 x 0.5;0;Fuente Alimentacion Samsung BN44-00755A PSLF281W07A
BN44-00807A REV: 1.1;Fuente Alimentacion SAMSUNG L55S6_FHS BN44-00807A REV: 1.1;49.59;https://www.sspelectronic.com/producto/44-;https://www.sspelectronic.com/images/productos/img/44-1-original.jpg;S;SAMSUNG;2;1300000000040;Fuentes de Alimentación;60;0.5 x 0.5 x 0.5;0;Fuente Alimentacion SAMSUNG L55S6_FHS BN44-00807A REV: 1.1
